Nome,Quantidade de Episódios,Data de lançamento,Nota,Mais informações
Zoku Owarimonogatari,6.0,2018.0,8.45,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
Mo Dao Zu Shi,15.0,2018.0,8.45,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
Owarimonogatari,12.0,2015.0,8.45,https://myanimelist.net/anime/31181/Owarimonogatari
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,12.0,2021.0,8.45,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,1.0,2013.0,8.45,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
Mushishi Zoku Shou: Odoro no Michi,1.0,2014.0,8.44,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
Saenai Heroine no Sodatekata Fine,1.0,2019.0,8.44,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
The First Slam Dunk,1.0,2022.0,8.44,https://myanimelist.net/anime/45649/The_First_Slam_Dunk
Tian Guan Ci Fu Special,1.0,2021.0,8.44,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
Haikyuu!!,25.0,2014.0,8.44,https://myanimelist.net/anime/20583/Haikyuu
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,24.0,2015.0,8.44,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
Karakai Jouzu no Takagi-san 3,12.0,2022.0,8.44,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
Gintama: Yorinuki Gintama-san on Theater 2D,2.0,2012.0,8.43,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
Grand Blue,12.0,2018.0,8.43,https://myanimelist.net/anime/37105/Grand_Blue
Kono Oto Tomare! Part 2,13.0,2019.0,8.43,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
Mo Dao Zu Shi: Xian Yun Pian,8.0,2019.0,8.43,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
Mononoke,12.0,2007.0,8.43,https://myanimelist.net/anime/2246/Mononoke
Saiki Kusuo no Ψ-nan 2,24.0,2018.0,8.43,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
Koukaku Kidoutai: Stand Alone Complex,26.0,2002.0,8.42,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
Saiki Kusuo no Ψ-nan,120.0,2016.0,8.42,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
Josee to Tora to Sakana-tachi,1.0,2020.0,8.42,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
Vivy: Fluorite Eye's Song,13.0,2021.0,8.42,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,1.0,2019.0,8.41,https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou
Wu Liuqi: Xuanwu Guo Pian,10.0,2021.0,8.41,https://myanimelist.net/anime/45556/Wu_Liuqi__Xuanwu_Guo_Pian
Major S5,25.0,2009.0,8.41,https://myanimelist.net/anime/5028/Major_S5
Natsume Yuujinchou Movie: Utsusemi ni Musubu,1.0,2018.0,8.41,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
Shingeki no Kyojin: Kuinaki Sentaku,2.0,2014.0,8.41,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
Hunter x Hunter,62.0,1999.0,8.41,https://myanimelist.net/anime/136/Hunter_x_Hunter
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,12.0,2019.0,8.41,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
Gintama°: Aizome Kaori-hen,2.0,2016.0,8.4,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen
Houseki no Kuni,12.0,2017.0,8.4,https://myanimelist.net/anime/35557/Houseki_no_Kuni
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),1.0,2009.0,8.4,https://myanimelist.net/anime/5205/Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go
Natsume Yuujinchou Roku Specials,2.0,2017.0,8.4,https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,1.0,2018.0,8.4,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
Tensei shitara Slime Datta Ken 2nd Season,12.0,2021.0,8.39,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
Tian Guan Ci Fu,11.0,2020.0,8.39,https://myanimelist.net/anime/40730/Tian_Guan_Ci_Fu
3-gatsu no Lion,22.0,2016.0,8.39,https://myanimelist.net/anime/31646/3-gatsu_no_Lion
Chihayafuru 2,25.0,2013.0,8.39,https://myanimelist.net/anime/14397/Chihayafuru_2
Cross Game,50.0,2009.0,8.39,https://myanimelist.net/anime/5941/Cross_Game
Kamisama Hajimemashita: Kako-hen,4.0,2015.0,8.39,https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen
Kaze ga Tsuyoku Fuiteiru,23.0,2018.0,8.39,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
Barakamon,12.0,2014.0,8.38,https://myanimelist.net/anime/22789/Barakamon
Cowboy Bebop: Tengoku no Tobira,1.0,2001.0,8.38,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
